experiment,d,kappa,stable_spectrum,stable_min,stable_max,rotation_seed,rotation_id,start_id,trial,start_seed,run_seed,method,eta,hisd_sweep_eta,eta_v,n_inner,n_grad_samples,n_hv_samples,l,tol,max_iter,x0_mode,unstable_scale,stable_scale,x0_norm,y0_unstable_abs,y0_stable_norm,converged,iterations,func_evals,true_grad_norm,hessian_index,index_ok,grad_ok,min_hessian_eval,max_hessian_eval
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,456,1,3,8,101400,101400,DF-ADAM-FC,0.02,,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,0.49378499388694763,0.2964794933795929,0.3948715627193451,True,893,62510,9.510723612038419e-05,1,True,True,-10.0,0.20000006258487701
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,456,1,3,8,101400,101400,DF-HiSD,0.1,0.1,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,0.49378499388694763,0.2964794933795929,0.3948715627193451,True,672,47040,9.963112097466365e-05,1,True,True,-10.0,0.20000006258487701
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,456,1,4,9,101500,101500,DF-ADAM-H,0.02,,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,0.49004238843917847,0.4056631922721863,0.2749162018299103,True,1181,82670,9.802928980207071e-05,1,True,True,-10.0,0.20000006258487701
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,456,1,4,9,101500,101500,DF-ADAM-FC,0.02,,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,0.49004238843917847,0.4056631922721863,0.2749162018299103,True,1163,81410,9.842393774306402e-05,1,True,True,-10.0,0.20000006258487701
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,456,1,4,9,101500,101500,DF-HiSD,0.1,0.1,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,0.49004238843917847,0.4056631922721863,0.2749162018299103,False,5000,350000,343762.6875,1,True,False,-10.0,0.20000006258487701
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,789,2,0,10,102100,102100,DF-ADAM-H,0.02,,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,1.2593961954116821,1.220423936843872,0.31087613105773926,False,5000,350000,1701.2718505859375,1,True,False,-10.0,0.1999995857477188
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,789,2,0,10,102100,102100,DF-ADAM-FC,0.02,,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,1.2593961954116821,1.220423936843872,0.31087613105773926,False,5000,350000,1757.8748779296875,1,True,False,-10.0,0.1999995857477188
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,789,2,0,10,102100,102100,DF-HiSD,0.02,0.02,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,1.2593961954116821,1.220423936843872,0.31087613105773926,False,5000,350000,128206.8515625,1,True,False,-10.0,0.1999995857477188
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,789,2,1,11,102200,102200,DF-ADAM-H,0.02,,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,1.3896429538726807,1.3498612642288208,0.3301248550415039,False,5000,350000,1693.2308349609375,1,True,False,-10.0,0.1999995857477188
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,789,2,1,11,102200,102200,DF-ADAM-FC,0.02,,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,1.3896429538726807,1.3498612642288208,0.3301248550415039,False,5000,350000,1757.6273193359375,1,True,False,-10.0,0.1999995857477188
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,789,2,1,11,102200,102200,DF-HiSD,0.02,0.02,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,1.3896429538726807,1.3498612642288208,0.3301248550415039,False,5000,350000,156804.296875,1,True,False,-10.0,0.1999995857477188
