experiment,panel,k,kappa,eta,pilot_trial,pilot_init_seed,pilot_run_seed,converged,iterations,true_grad_norm,hessian_index,index_ok,grad_ok,max_iter,tol,eta_v,n_inner,n_grad_samples,n_hv_samples,l
rotated_quartic,condition_number,1,500,0.01,4,35000046,45000046,False,3000,0.005248443689197302,1,True,False,3000,0.001,0.01,5,5,3,0.0001
rotated_quartic,condition_number,1,500,0.02,0,35000042,45000042,False,3000,0.002139368327334523,1,True,False,3000,0.001,0.01,5,5,3,0.0001
rotated_quartic,condition_number,1,500,0.02,1,35000043,45000043,False,3000,0.002143345307558775,1,True,False,3000,0.001,0.01,5,5,3,0.0001
rotated_quartic,condition_number,1,500,0.02,2,35000044,45000044,False,3000,0.0031903849449008703,0,False,False,3000,0.001,0.01,5,5,3,0.0001
rotated_quartic,condition_number,1,500,0.02,3,35000045,45000045,False,3000,0.0015455305110663176,1,True,False,3000,0.001,0.01,5,5,3,0.0001
rotated_quartic,condition_number,1,500,0.02,4,35000046,45000046,False,3000,0.0020979130640625954,1,True,False,3000,0.001,0.01,5,5,3,0.0001
rotated_quartic,condition_number,1,500,0.05,0,35000042,45000042,True,2151,0.0009969169041141868,1,True,True,3000,0.001,0.01,5,5,3,0.0001
rotated_quartic,condition_number,1,500,0.05,1,35000043,45000043,True,2178,0.0009900258155539632,1,True,True,3000,0.001,0.01,5,5,3,0.0001
rotated_quartic,condition_number,1,500,0.05,2,35000044,45000044,False,3000,0.001230505877174437,0,False,False,3000,0.001,0.01,5,5,3,0.0001
rotated_quartic,condition_number,1,500,0.05,3,35000045,45000045,True,1757,0.0009974861750379205,1,True,True,3000,0.001,0.01,5,5,3,0.0001
rotated_quartic,condition_number,1,500,0.05,4,35000046,45000046,True,2081,0.000998753122985363,1,True,True,3000,0.001,0.01,5,5,3,0.0001
rotated_quartic,condition_number,1,500,0.1,0,35000042,45000042,True,1068,0.0009908524807542562,1,True,True,3000,0.001,0.01,5,5,3,0.0001
rotated_quartic,condition_number,1,500,0.1,1,35000043,45000043,True,1094,0.0009881183505058289,1,True,True,3000,0.001,0.01,5,5,3,0.0001
rotated_quartic,condition_number,1,500,0.1,2,35000044,45000044,True,1125,0.0009971444960683584,1,True,True,3000,0.001,0.01,5,5,3,0.0001
rotated_quartic,condition_number,1,500,0.1,3,35000045,45000045,True,924,0.0009885129984468222,1,True,True,3000,0.001,0.01,5,5,3,0.0001
rotated_quartic,condition_number,1,500,0.1,4,35000046,45000046,True,1038,0.000998266856186092,1,True,True,3000,0.001,0.01,5,5,3,0.0001
