experiment,d,kappa,lambda2,theta_deg,index_k,method,trial,seed,run_seed,init_seed,eta,eta_v,n_inner,n_grad_samples,n_hv_samples,l,tol,max_iter,rotation_scheme,hisd_eta_selected,hisd_pilot_n,hisd_pilot_success_count,hisd_eta_selection_rule,converged,iterations,g_norm,func_evals,true_grad_norm,hessian_index,index_ok,grad_ok,min_hessian_eval,max_hessian_eval
higher_index_rotated,10,100,0.02,30.0,1,DF-ADAM-FC,5,5142,5142,10047,0.01,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1383,0.0009992590639740229,96810,0.0009992590639740229,1,True,True,-2.0,0.0246577225625515
higher_index_rotated,10,100,0.02,30.0,1,DF-ADAM-FC,6,6142,6142,10048,0.01,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,758,0.0009977617301046848,53060,0.0009977617301046848,1,True,True,-2.0,0.021535556763410568
higher_index_rotated,10,100,0.02,30.0,1,DF-ADAM-FC,7,7142,7142,10049,0.01,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,703,0.0009959926828742027,49210,0.0009959926828742027,1,True,True,-2.0,0.022926434874534607
higher_index_rotated,10,100,0.02,30.0,1,DF-ADAM-FC,8,8142,8142,10050,0.01,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1480,0.0009996010921895504,103600,0.0009996010921895504,1,True,True,-2.0,0.02433672547340393
higher_index_rotated,10,100,0.02,30.0,1,DF-ADAM-FC,9,9142,9142,10051,0.01,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1277,0.0009992404375225306,89390,0.0009992404375225306,1,True,True,-2.0,0.025251168757677078
higher_index_rotated,10,100,0.02,30.0,1,DF-ADAM-FC,10,10142,10142,10052,0.01,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1139,0.0009941256139427423,79730,0.0009941256139427423,1,True,True,-2.0,0.023833081126213074
higher_index_rotated,10,100,0.02,30.0,1,DF-ADAM-FC,11,11142,11142,10053,0.01,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,897,0.0009954363340511918,62790,0.0009954363340511918,1,True,True,-2.0,0.024549605324864388
higher_index_rotated,10,100,0.02,30.0,1,DF-ADAM-FC,12,12142,12142,10054,0.01,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1913,0.0009995601139962673,133910,0.0009995601139962673,1,True,True,-2.0,0.022998446598649025
higher_index_rotated,10,100,0.02,30.0,1,DF-ADAM-FC,13,13142,13142,10055,0.01,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1592,0.0009992936393246055,111440,0.0009992936393246055,1,True,True,-2.0,0.024217374622821808
higher_index_rotated,10,100,0.02,30.0,1,DF-ADAM-FC,14,14142,14142,10056,0.01,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,2279,0.0009958900045603514,159530,0.0009958900045603514,1,True,True,-2.0,0.025295205414295197
