experiment,d,kappa,lambda2,k,target_index,theta_deg,method,eta,eta_v,n_inner,n_grad_samples,n_hv_samples,l,tol,max_iter,trial,seed,init_seed,converged,iterations,g_norm,func_evals,true_grad_norm,hessian_index,index_ok,grad_ok,min_hessian_eval,max_hessian_eval,failure_reason
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.1,0.01,5,5,3,0.0001,0.001,3000,5,5042,50047,False,1130,0.0009982766350731254,79100,0.0009982766350731254,0,False,True,0.020000293850898743,4.000347137451172,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.1,0.01,5,5,3,0.0001,0.001,3000,6,6042,50048,True,194,0.0009089080849662423,13580,0.0009089080849662423,1,True,True,-2.0,0.022697392851114273,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.1,0.01,5,5,3,0.0001,0.001,3000,7,7042,50049,False,1453,0.0009946668287739158,101710,0.0009946668287739158,0,False,True,0.020085902884602547,4.000036239624023,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.1,0.01,5,5,3,0.0001,0.001,3000,8,8042,50050,False,1676,0.0009856255492195487,117320,0.0009856255492195487,0,False,True,0.020000021904706955,4.000051021575928,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.1,0.01,5,5,3,0.0001,0.001,3000,9,9042,50051,True,291,0.0009960477473214269,20370,0.0009960477473214269,1,True,True,-2.0,0.022841965779662132,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.1,0.01,5,5,3,0.0001,0.001,3000,10,10042,50052,True,146,0.0009986840886995196,10220,0.0009986840886995196,1,True,True,-2.0,0.022615646943449974,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-H,0.1,0.01,5,5,3,0.0001,0.001,3000,11,11042,50053,False,863,0.0009992296108976007,60410,0.0009992296108976007,0,False,True,0.0200045183300972,3.9997568130493164,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.001,0.01,5,5,3,0.0001,0.001,3000,0,42,50042,False,3000,0.011653635650873184,210000,0.011653635650873184,1,True,False,-2.0,0.1261894404888153,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.001,0.01,5,5,3,0.0001,0.001,3000,1,1042,50043,False,3000,0.017439931631088257,210000,0.017439931631088257,1,True,False,-1.9999977350234985,0.14301849901676178,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.001,0.01,5,5,3,0.0001,0.001,3000,2,2042,50044,False,3000,0.0025038043968379498,210000,0.0025038043968379498,1,True,False,-2.0,0.039951927959918976,
