experiment,d,kappa,lambda2,theta_deg,method,trial,seed,run_seed,init_seed,eta,eta_v,n_inner,n_grad_samples,n_hv_samples,l,tol,max_iter,rotation_scheme,hisd_eta_selected,hisd_pilot_n,hisd_pilot_success_count,hisd_eta_selection_rule,converged,iterations,g_norm,func_evals,true_grad_norm,hessian_index,index_ok,grad_ok,min_hessian_eval,max_hessian_eval
rotated_quartic,10,10,0.2,30.0,DF-ADAM-FC,5,5052,5052,100047,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,589,0.0009944161865860224,41230,0.0009944161865860224,1,True,True,-2.0,0.20006650686264038
rotated_quartic,10,10,0.2,30.0,DF-ADAM-FC,6,6052,6052,100048,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,678,0.0009928107028827071,47460,0.0009928107028827071,1,True,True,-2.0,0.20006689429283142
rotated_quartic,10,10,0.2,30.0,DF-ADAM-FC,7,7052,7052,100049,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,697,0.0009912516688928008,48790,0.0009912516688928008,1,True,True,-2.0,0.20006264746189117
rotated_quartic,10,10,0.2,30.0,DF-ADAM-FC,8,8052,8052,100050,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,766,0.0009888275526463985,53620,0.0009888275526463985,1,True,True,-2.0,0.2000495046377182
rotated_quartic,10,10,0.2,30.0,DF-ADAM-FC,9,9052,9052,100051,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,798,0.0009902222082018852,55860,0.0009902222082018852,1,True,True,-2.0,0.2000601887702942
rotated_quartic,10,10,0.2,30.0,DF-ADAM-FC,10,10052,10052,100052,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,False,3000,0.014470252208411694,210000,0.014470252208411694,0,False,False,0.20000001788139343,4.008971691131592
rotated_quartic,10,10,0.2,30.0,DF-ADAM-FC,11,11052,11052,100053,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,450,0.0009865917963907123,31500,0.0009865917963907123,1,True,True,-2.0,0.20005914568901062
rotated_quartic,10,10,0.2,30.0,DF-ADAM-FC,12,12052,12052,100054,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,733,0.0009940702002495527,51310,0.0009940702002495527,1,True,True,-2.0,0.2000672072172165
rotated_quartic,10,10,0.2,30.0,DF-ADAM-FC,13,13052,13052,100055,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,710,0.0009857320692390203,49700,0.0009857320692390203,1,True,True,-2.0,0.20003344118595123
rotated_quartic,10,10,0.2,30.0,DF-ADAM-FC,14,14052,14052,100056,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,808,0.0009973867563530803,56560,0.0009973867563530803,1,True,True,-2.0,0.20007091760635376
