experiment,d,kappa,lambda1,lambda_plus,selection_rule,n_quick,candidates,eta,quick_seed,converged,iterations,true_grad_norm,func_evals,hessian_index
df_quadratic_kappa,10,100,-10.0,0.1,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.02,2040,False,3000,0.00020568696682642852,210000,1
df_quadratic_kappa,10,100,-10.0,0.1,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.05,42,True,1320,9.848286967245515e-05,92400,1
df_quadratic_kappa,10,100,-10.0,0.1,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.05,1041,True,1379,9.939768840750426e-05,96530,1
df_quadratic_kappa,10,100,-10.0,0.1,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.05,2040,True,1331,9.760188930289955e-05,93170,1
df_quadratic_kappa,10,100,-10.0,0.1,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.1,42,True,719,9.858544020826748e-05,50330,1
df_quadratic_kappa,10,100,-10.0,0.1,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.1,1041,True,687,9.873044157621109e-05,48090,1
df_quadratic_kappa,10,100,-10.0,0.1,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.1,2040,True,669,9.733111453930081e-05,46830,1
df_quadratic_kappa,10,200,-10.0,0.05,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.005,42,False,3000,0.02692668378925321,210000,1
df_quadratic_kappa,10,200,-10.0,0.05,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.005,1041,False,3000,0.025852673493249406,210000,1
df_quadratic_kappa,10,200,-10.0,0.05,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.005,2040,False,3000,0.026272657362801207,210000,1
df_quadratic_kappa,10,200,-10.0,0.05,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.01,42,False,3000,0.013099796463390554,210000,1
df_quadratic_kappa,10,200,-10.0,0.05,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.01,1041,False,3000,0.012310807097420919,210000,1
df_quadratic_kappa,10,200,-10.0,0.05,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.01,2040,False,3000,0.012530499453192746,210000,1
df_quadratic_kappa,10,200,-10.0,0.05,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.02,42,False,3000,0.0030061171539623433,210000,1
df_quadratic_kappa,10,200,-10.0,0.05,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.02,1041,False,3000,0.0027874028877298623,210000,1
df_quadratic_kappa,10,200,-10.0,0.05,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.02,2040,False,3000,0.002832495472330959,210000,1
df_quadratic_kappa,10,200,-10.0,0.05,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.05,42,True,2572,9.984744769675179e-05,180040,1
df_quadratic_kappa,10,200,-10.0,0.05,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.05,1041,True,2533,9.933347093587483e-05,177310,1
df_quadratic_kappa,10,200,-10.0,0.05,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.05,2040,True,2521,9.743510917587428e-05,176470,1
df_quadratic_kappa,10,200,-10.0,0.05,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.1,42,True,1266,9.697059425384168e-05,88620,1
df_quadratic_kappa,10,200,-10.0,0.05,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.1,1041,True,1266,9.927894391544817e-05,88620,1
df_quadratic_kappa,10,200,-10.0,0.05,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.1,2040,True,1256,9.897434834051715e-05,87920,1
